query,action
"I require a gynecologist bangalore. i have a concern related to routine check-up. preferably, i would like a specific hospital chain.",find_doctor
Where can i seeking this chemist near?,find_medicalshop
"Looking for the infirmary near. it's an routine check-up situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Can you help me seeking a testing facility around?,find_lab
"I seeking the consultation in. i need to second opinion. can you assist in finding a suitable time for the appointment, preferably specific time for appointments?",book_appointment
Trying to find my scheduled visits mysore. can you provide information about my scheduled visits?,my_appointments
Where can i need the medical history mysore? i would like to access patient records for a review.,my_records
"I wish to locate some healthcare provider hyderabad. i have a concern related to preventive care. preferably, i would like a specific time for appointments.",find_doctor
Where can i trying to find some pharmacy near?,find_medicalshop
"Looking for some emergency room delhi. it's an emergency situation, and i need immediate assistance. i prefer a hospital with male doctor.",find_hospital
Looking for some diagnostic center bangalore.,find_lab
"Looking for this meet with a doctor kolkata. i need to second opinion. can you assist in finding a suitable time for the appointment, preferably male doctor?",book_appointment
Can you help me looking to consult for an upcoming appointments hyderabad? can you provide information about my my appointments?,my_appointments
Looking for this health information around. i would like to access my medical records for a review.,my_records
"I need the gp close to. i have a concern related to emergency. preferably, i would like a female doctor.",find_doctor
Looking for a apothecary mysore.,find_medicalshop
"Can you help me looking to consult for the emergency room bangalore? it's an specific medical procedure situation, and i need immediate assistance. i prefer a hospital with male doctor.",find_hospital
Where can i seeking some diagnostic center mumbai?,find_lab
"Can you help me want the meet with a doctor near? i need to second opinion. can you assist in finding a suitable time for the appointment, preferably male doctor?",book_appointment
Where can i wish to locate my upcoming appointments mysore? can you provide information about my scheduled visits?,my_appointments
I wish to locate a health information mumbai. i would like to access medical history for a review.,my_records
"I have a query about this cardiologist bangalore. i have a concern related to specific medical procedure. preferably, i would like a male doctor.",find_doctor
Have a query about the health supply store hyderabad.,find_medicalshop
"I am looking for my medical center near. it's an emergency situation, and i need immediate assistance. i prefer a hospital with specific hospital chain.",find_hospital
Wish to locate a pathology lab around.,find_lab
"Can you help me have a query about this arrange a visit kolkata? i need to specific medical procedure. can you assist in finding a suitable time for the appointment, preferably male doctor?",book_appointment
Looking for an my appointments bangalore. can you provide information about my scheduled visits?,my_appointments
Where can i need my health information near? i would like to access health records for a review.,my_records
"I need some family doctor bangalore. i have a concern related to emergency. preferably, i would like a female doctor.",find_doctor
Can you help me require the drugstore bangalore?,find_medicalshop
"I trying to find my medical center close to. it's an emergency situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
I have a query about an clinical lab close to.,find_lab
"I am looking for my meet with a doctor within. i need to emergency. can you assist in finding a suitable time for the appointment, preferably female doctor?",book_appointment
Where can i have a query about some doctor appointments mysore? can you provide information about my my appointments?,my_appointments
Where can i want my my medical records mumbai? i would like to access health information for a review.,my_records
"I have a query about some doctor close to. i have a concern related to routine check-up. preferably, i would like a specific hospital chain.",find_doctor
Trying to find the drugstore mumbai.,find_medicalshop
"I require an medical center near. it's an specific medical procedure situation, and i need immediate assistance. i prefer a hospital with male doctor.",find_hospital
Where can i seeking this clinical lab in?,find_lab
"Need some consultation within. i need to emergency. can you assist in finding a suitable time for the appointment, preferably male doctor?",book_appointment
I looking to consult for some doctor appointments within. can you provide information about my my appointments?,my_appointments
I want this patient records bangalore. i would like to access health records for a review.,my_records
"Wish to locate my dermatologist chennai. i have a concern related to preventive care. preferably, i would like a specific time for appointments.",find_doctor
Where can i wish to locate the medical store mumbai?,find_medicalshop
"I require some healthcare facility bangalore. it's an second opinion situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Can you help me require the pathology lab bangalore?,find_lab
"Looking for an appointment ahmedabad. i need to preventive care. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Can you help me need the upcoming appointments close to? can you provide information about my upcoming appointments?,my_appointments
I am looking for the medical history delhi. i would like to access patient records for a review.,my_records
"Trying to find a dermatologist kolkata. i have a concern related to specific medical procedure. preferably, i would like a female doctor.",find_doctor
Am looking for an medical store mumbai.,find_medicalshop
"Looking to consult for a clinic hyderabad. it's an emergency situation, and i need immediate assistance. i prefer a hospital with specific time for appointments.",find_hospital
Looking for an lab hyderabad.,find_lab
"Require this consultation kolkata. i need to second opinion. can you assist in finding a suitable time for the appointment, preferably male doctor?",book_appointment
I want my upcoming appointments chennai. can you provide information about my doctor appointments?,my_appointments
I trying to find an health information hyderabad. i would like to access patient records for a review.,my_records
"Looking for the dermatologist within. i have a concern related to routine check-up. preferably, i would like a female doctor.",find_doctor
Where can i looking to consult for an medical store chennai?,find_medicalshop
"I have a query about my medical center chennai. it's an preventive care situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Where can i am looking for this clinical lab mysore?,find_lab
"Have a query about some consultation hyderabad. i need to second opinion. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Looking for some doctor appointments delhi. can you provide information about my my appointments?,my_appointments
I looking to consult for my medical history kolkata. i would like to access my medical records for a review.,my_records
"I wish to locate the physician mysore. i have a concern related to preventive care. preferably, i would like a specific time for appointments.",find_doctor
Where can i need my apothecary chennai?,find_medicalshop
"Can you help me looking to consult for an healthcare facility kolkata? it's an specific medical procedure situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Looking for a diagnostic center in.,find_lab
"I require a book mumbai. i need to routine check-up. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Can you help me want the scheduled visits ahmedabad? can you provide information about my upcoming appointments?,my_appointments
Can you help me want a health records chennai? i would like to access health records for a review.,my_records
"Where can i trying to find this gynecologist mumbai? i have a concern related to second opinion. preferably, i would like a specific hospital chain.",find_doctor
Looking for a pharmacy kolkata.,find_medicalshop
"Where can i looking to consult for my urgent care near? it's an preventive care situation, and i need immediate assistance. i prefer a hospital with male doctor.",find_hospital
Want an clinical lab ahmedabad.,find_lab
"I am looking for the meet with a doctor around. i need to preventive care. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Can you help me want an scheduled visits hyderabad? can you provide information about my scheduled visits?,my_appointments
I need my patient records near. i would like to access health information for a review.,my_records
"Looking for some dermatologist around. i have a concern related to specific medical procedure. preferably, i would like a male doctor.",find_doctor
Looking to consult for my medical store mysore.,find_medicalshop
"Where can i require some emergency room in? it's an preventive care situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Wish to locate the medical laboratory within.,find_lab
"Need this book mumbai. i need to preventive care. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Looking for a my appointments near. can you provide information about my upcoming appointments?,my_appointments
Have a query about a health information near. i would like to access my medical records for a review.,my_records
"Have a query about my physician close to. i have a concern related to specific medical procedure. preferably, i would like a male doctor.",find_doctor
Can you help me looking to consult for the pharmacy within?,find_medicalshop
"Seeking this medical center around. it's an emergency situation, and i need immediate assistance. i prefer a hospital with specific hospital chain.",find_hospital
Have a query about an medical laboratory near.,find_lab
"Looking for the consultation ahmedabad. i need to specific medical procedure. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
Want this my appointments in. can you provide information about my my appointments?,my_appointments
Trying to find some patient records kolkata. i would like to access medical history for a review.,my_records
"Looking to consult for this cardiologist close to. i have a concern related to preventive care. preferably, i would like a specific time for appointments.",find_doctor
I need this drugstore ahmedabad.,find_medicalshop
"Wish to locate my clinic near. it's an routine check-up situation, and i need immediate assistance. i prefer a hospital with male doctor.",find_hospital
Can you help me looking to consult for an pathology lab within?,find_lab
"Looking for a appointment around. i need to emergency. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
I require a my appointments ahmedabad. can you provide information about my upcoming appointments?,my_appointments
Where can i need the patient records within? i would like to access medical history for a review.,my_records
"Looking for the dermatologist chennai. i have a concern related to specific medical procedure. preferably, i would like a female doctor.",find_doctor
Where can i need the chemist bangalore?,find_medicalshop
"Looking for an infirmary delhi. it's an second opinion situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Can you help me have a query about a medical laboratory near?,find_lab
"I wish to locate some appointment bangalore. i need to emergency. can you assist in finding a suitable time for the appointment, preferably specific time for appointments?",book_appointment
Can you help me trying to find the scheduled visits delhi? can you provide information about my scheduled visits?,my_appointments
Looking for the health information bangalore. i would like to access patient records for a review.,my_records
"Looking to consult for a healthcare provider hyderabad. i have a concern related to emergency. preferably, i would like a specific time for appointments.",find_doctor
I require an drugstore hyderabad.,find_medicalshop
"Can you help me seeking some infirmary in? it's an preventive care situation, and i need immediate assistance. i prefer a hospital with female doctor.",find_hospital
Looking for an lab around.,find_lab
"I trying to find an arrange a visit kolkata. i need to routine check-up. can you assist in finding a suitable time for the appointment, preferably specific time for appointments?",book_appointment
I am looking for this doctor appointments bangalore. can you provide information about my my appointments?,my_appointments
Looking for the medical history in. i would like to access health information for a review.,my_records
"Can you help me trying to find an medical practitioner hyderabad? i have a concern related to specific medical procedure. preferably, i would like a specific hospital chain.",find_doctor
Where can i need a drugstore hyderabad?,find_medicalshop
"Looking for this clinic kolkata. it's an routine check-up situation, and i need immediate assistance. i prefer a hospital with specific time for appointments.",find_hospital
Can you help me require the lab near?,find_lab
"Where can i have a query about my consultation bangalore? i need to specific medical procedure. can you assist in finding a suitable time for the appointment, preferably specific hospital chain?",book_appointment
I looking to consult for an doctor appointments ahmedabad. can you provide information about my upcoming appointments?,my_appointments
