query,location_type
Trying to find my near nearby. i need to see a physician because of second opinion. i prefer male doctor.,near
"I'm seeking within the vicinity of in. it's second opinion, and i require help from a hospital. i'd like a hospital specific time for appointments.",in
"Looking to have a question about around around. i want to specific medical procedure. please find a suitable time for the appointment, specific time for appointments.",around
Want near close_to. can you tell me about scheduled visits?,close_to
Have a question about within within. i want to check medical history for my review.,within
Looking for this nearby near. i need to see a doctor because of specific medical procedure. i prefer male doctor.,near
"Where can i have a question about a within the vicinity of in? it's emergency, and i require help from a medical center. i'd like a hospital specific time for appointments.",in
"Wish to locate some around in the area of. i want to specific medical procedure. please find a suitable time for the appointment, male doctor.",around
Trying to find near close_to. can you tell me about upcoming appointments?,close_to
Tell me about within within. i want to check my medical records for my review.,within
I'm trying to find nearby near. i need to see a physician because of specific medical procedure. i prefer male doctor.,near
"Looking for the within in. it's routine check-up, and i require help from a hospital. i'd like a hospital specific time for appointments.",in
"Trying to find the nearby around. i want to emergency. please find a suitable time for the appointment, female doctor.",around
Can you help me am looking for a adjacent to close_to? can you tell me about upcoming appointments?,close_to
Looking to have a question about within within. i want to check health records for my review.,within
Looking for a nearby near. i need to see a doctor because of preventive care. i prefer specific hospital chain.,near
"Looking for some within the vicinity of in. it's routine check-up, and i require help from a hospital. i'd like a hospital specific hospital chain.",in
"Can you help me need the nearby around? i want to second opinion. please find a suitable time for the appointment, male doctor.",around
I'm have a question about in proximity to close_to. can you tell me about upcoming appointments?,close_to
Looking for a inside within. i want to check health records for my review.,within
Looking to need around near. i need to see a healthcare provider because of routine check-up. i prefer specific time for appointments.,near
"Looking to consult for inside in. it's second opinion, and i require help from a healthcare facility. i'd like a hospital specific time for appointments.",in
"I seeking the nearby around. i want to specific medical procedure. please find a suitable time for the appointment, male doctor.",around
Looking for an in proximity to close_to. can you tell me about scheduled visits?,close_to
Need an within within. i want to check medical history for my review.,within
Can you help me require an nearby near? i need to see a healthcare provider because of routine check-up. i prefer specific hospital chain.,near
"Looking for a inside in. it's emergency, and i require help from a medical center. i'd like a hospital specific time for appointments.",in
"Looking to consult for my surrounding around. i want to emergency. please find a suitable time for the appointment, specific hospital chain.",around
Want in proximity to close_to. can you tell me about upcoming appointments?,close_to
I'm am looking for in the confines of within. i want to check health records for my review.,within
Looking to am looking for close near. i need to see a healthcare provider because of emergency. i prefer specific hospital chain.,near
"Have a question about this in within the vicinity of. it's second opinion, and i require help from a healthcare facility. i'd like a hospital male doctor.",in
"I'm have a question about around around. i want to second opinion. please find a suitable time for the appointment, female doctor.",around
Looking to consult for some close to close_to. can you tell me about upcoming appointments?,close_to
Looking to consult for inside within. i want to check my medical records for my review.,within
I'm want proximity near. i need to see a healthcare provider because of preventive care. i prefer specific time for appointments.,near
"I trying to find the within in. it's emergency, and i require help from a medical center. i'd like a hospital female doctor.",in
"Looking to consult for surrounding around. i want to emergency. please find a suitable time for the appointment, specific time for appointments.",around
Looking for a near close_to. can you tell me about my appointments?,close_to
Looking for some inside within. i want to check health records for my review.,within
Need an close near. i need to see a physician because of routine check-up. i prefer male doctor.,near
"Tell me about inside in. it's routine check-up, and i require help from a hospital. i'd like a hospital specific hospital chain.",in
"I have a question about my surrounding around. i want to emergency. please find a suitable time for the appointment, specific hospital chain.",around
Looking for a close to close_to. can you tell me about upcoming appointments?,close_to
Am looking for within within. i want to check medical history for my review.,within
Looking for a nearby near. i need to see a doctor because of emergency. i prefer female doctor.,near
"Am looking for the inside in. it's emergency, and i require help from a medical center. i'd like a hospital specific time for appointments.",in
"Tell me about around around. i want to second opinion. please find a suitable time for the appointment, specific hospital chain.",around
Require this adjacent to close_to. can you tell me about upcoming appointments?,close_to
Can you help me require the in the confines of within? i want to check my medical records for my review.,within
I'm looking to consult for around near. i need to see a physician because of specific medical procedure. i prefer specific time for appointments.,near
