query,location_type,city
Looking to want narasaraopet near. i need to see a physician because of preventive care. i prefer specific time for appointments.,near,Kishanganj
"Where can i have a question about an bokaro steel city in? it's specific medical procedure, and i require help from a healthcare facility. i'd like a hospital female doctor.",in,Meerut
"I wish to locate an nangloi jat around. i want to emergency. please find a suitable time for the appointment, male doctor.",around,Khora
Where can i trying to find an patiala close_to? can you tell me about my appointments?,close_to,Hoshiarpur
Looking to trying to find chennai within. i want to check my medical records for my review.,within,Vadodara
Tell me about navi mumbai near. i need to see a physician because of routine check-up. i prefer female doctor.,near,Nellore
"Trying to find my madurai in. it's specific medical procedure, and i require help from a healthcare facility. i'd like a hospital male doctor.",in,Rourkela
"Have a question about some around sagar. i want to specific medical procedure. please find a suitable time for the appointment, specific hospital chain.",around,Khammam
Looking for this kolhapur close_to. can you tell me about scheduled visits?,close_to,Ahmedabad
Looking to wish to locate dimapur within. i want to check medical history for my review.,within,Asansol
Looking to trying to find agra near. i need to see a physician because of preventive care. i prefer specific time for appointments.,near,Bokaro Steel City
"Have a question about my in jhansi. it's emergency, and i require help from a healthcare facility. i'd like a hospital female doctor.",in,Nadiad
"Have a question about yamunanagar around. i want to emergency. please find a suitable time for the appointment, female doctor.",around,Chandrapur
Wish to locate some cuttack close_to. can you tell me about upcoming appointments?,close_to,Burhanpur
Tell me about nanded within. i want to check my medical records for my review.,within,Mysuru
Require a near raiganj. i need to see a doctor because of second opinion. i prefer female doctor.,near,Proddatur
"Looking to want dhule in. it's second opinion, and i require help from a healthcare facility. i'd like a hospital specific hospital chain.",in,Jalgaon
"Looking for this chapra around. i want to preventive care. please find a suitable time for the appointment, male doctor.",around,Delhi
Where can i require some gulbarga close_to? can you tell me about scheduled visits?,close_to,Muzaffarpur
I'm want faridabad within. i want to check my medical records for my review.,within,Berhampur
I'm looking to consult for hyderabad near. i need to see a physician because of routine check-up. i prefer specific time for appointments.,near,Shivamogga
"I trying to find the gaya in. it's routine check-up, and i require help from a healthcare facility. i'd like a hospital female doctor.",in,Nangloi Jat
"Tell me about itanagar around. i want to specific medical procedure. please find a suitable time for the appointment, female doctor.",around,Firozabad
I trying to find some kottayam close_to. can you tell me about upcoming appointments?,close_to,Dimapur
Looking to wish to locate nellore within. i want to check medical history for my review.,within,Asansol
I'm require gaya near. i need to see a healthcare provider because of emergency. i prefer male doctor.,near,Gangtok
"Have a question about a in dewas. it's emergency, and i require help from a hospital. i'd like a hospital female doctor.",in,Kottayam
"Tell me about kanpur around. i want to routine check-up. please find a suitable time for the appointment, male doctor.",around,Srinagar
Have a question about the close_to gulbarga. can you tell me about my appointments?,close_to,Varanasi
I'm wish to locate cuttack within. i want to check medical history for my review.,within,Solapur
Looking to trying to find howrah near. i need to see a physician because of routine check-up. i prefer specific hospital chain.,near,Muzaffarpur
"Can you help me have a question about my salem in? it's routine check-up, and i require help from a healthcare facility. i'd like a hospital specific time for appointments.",in,Bathinda
"Have a question about bhilai around. i want to routine check-up. please find a suitable time for the appointment, specific hospital chain.",around,Thiruvananthapuram
Need durg close_to. can you tell me about my appointments?,close_to,Thane
Where can i require some gandhidham within? i want to check my medical records for my review.,within,Kalyan-Dombivli
Can you help me have a question about some gaya near? i need to see a physician because of second opinion. i prefer female doctor.,near,Itanagar
"Wish to locate some coimbatore in. it's routine check-up, and i require help from a hospital. i'd like a hospital male doctor.",in,Vasai-Virar
"Where can i want the kozhikode around? i want to emergency. please find a suitable time for the appointment, female doctor.",around,Tiruchirappalli
Looking to require khammam close_to. can you tell me about scheduled visits?,close_to,Aurangabad
I looking to consult for a narasaraopet within. i want to check medical history for my review.,within,Gwalior
Am looking for a nanded near. i need to see a healthcare provider because of second opinion. i prefer male doctor.,near,Bhilai
"Looking to am looking for raiganj in. it's specific medical procedure, and i require help from a hospital. i'd like a hospital specific hospital chain.",in,Jaipur
"I require the mysuru around. i want to second opinion. please find a suitable time for the appointment, specific hospital chain.",around,Bhagalpur
Looking for an tirupur close_to. can you tell me about my appointments?,close_to,Bhiwani
Looking to need chandrapur within. i want to check medical history for my review.,within,Thane
Tell me about kadapa near. i need to see a physician because of emergency. i prefer male doctor.,near,Tirupur
"Where can i looking to consult for the vasai-virar in? it's emergency, and i require help from a hospital. i'd like a hospital specific time for appointments.",in,Sagar
"Need some around gandhinagar. i want to preventive care. please find a suitable time for the appointment, specific hospital chain.",around,Hindupur
I'm looking to consult for proddatur close_to. can you tell me about my appointments?,close_to,Rajkot
Trying to find an nangloi jat within. i want to check health records for my review.,within,Jodhpur
Looking to seeking kalyan-dombivli near. i need to see a healthcare provider because of routine check-up. i prefer male doctor.,near,Bikaner
"Seeking hugli-chinsurah in. it's preventive care, and i require help from a healthcare facility. i'd like a hospital female doctor.",in,Begusarai
"Can you help me looking to consult for my durg around? i want to routine check-up. please find a suitable time for the appointment, female doctor.",around,Ajmer
Tell me about junagadh close_to. can you tell me about upcoming appointments?,close_to,Khammam
Have a question about this within pune. i want to check medical history for my review.,within,Jamnagar
I want my nagpur near. i need to see a physician because of preventive care. i prefer male doctor.,near,Durg
"Looking to consult for this in within. it's second opinion, and i require help from a medical center. i'd like a hospital specific hospital chain.",in,Meerut
"I require the indore around. i want to emergency. please find a suitable time for the appointment, female doctor.",around,Rourkela
I'm looking to consult for vasai-virar close_to. can you tell me about my appointments?,close_to,Nagercoil
Tell me about ajmer within. i want to check my medical records for my review.,within,Thrissur
I'm require loni near. i need to see a doctor because of preventive care. i prefer specific hospital chain.,near,Sangli-Miraj & Kupwad
"Looking for the shimla in. it's specific medical procedure, and i require help from a healthcare facility. i'd like a hospital male doctor.",in,Kolhapur
"Looking to trying to find nanded around. i want to preventive care. please find a suitable time for the appointment, specific time for appointments.",around,Chandrapur
I'm have a question about nagpur close_to. can you tell me about scheduled visits?,close_to,Bhopal
Can you help me have a question about this jhansi within? i want to check health records for my review.,within,Kanpur
Looking for this allahabad near. i need to see a physician because of preventive care. i prefer specific time for appointments.,near,Thane
"Looking for some sangli-miraj & kupwad in. it's emergency, and i require help from a medical center. i'd like a hospital male doctor.",in,Gaya
"I'm seeking guwahati around. i want to second opinion. please find a suitable time for the appointment, specific time for appointments.",around,Loni
I wish to locate this loni close_to. can you tell me about upcoming appointments?,close_to,Howrah
Can you help me seeking this buxar within? i want to check my medical records for my review.,within,Thane
Looking to want siliguri near. i need to see a physician because of routine check-up. i prefer specific hospital chain.,near,Ajmer
"Wish to locate a in madurai. it's second opinion, and i require help from a medical center. i'd like a hospital specific time for appointments.",in,Erode
"I'm trying to find meerut around. i want to specific medical procedure. please find a suitable time for the appointment, male doctor.",around,Ratlam
Looking for an srinagar close_to. can you tell me about scheduled visits?,close_to,Rampur
Looking for my chandigarh within. i want to check medical history for my review.,within,Salem
Can you help me wish to locate the nandyal near? i need to see a healthcare provider because of emergency. i prefer male doctor.,near,Hosur
"Looking to need rampur in. it's specific medical procedure, and i require help from a hospital. i'd like a hospital specific hospital chain.",in,Nashik
"Can you help me trying to find an jalgaon around? i want to specific medical procedure. please find a suitable time for the appointment, male doctor.",around,Gandhidham
Looking to need chittoor close_to. can you tell me about my appointments?,close_to,Lucknow
Am looking for nanded within. i want to check my medical records for my review.,within,Tiruchirappalli
Where can i need this davanagere near? i need to see a physician because of second opinion. i prefer specific time for appointments.,near,Bhagalpur
"Wish to locate an ludhiana in. it's routine check-up, and i require help from a medical center. i'd like a hospital specific time for appointments.",in,Agra
"Looking for a mysore around. i want to second opinion. please find a suitable time for the appointment, female doctor.",around,Nadiad
Can you help me have a question about my kamarhati close_to? can you tell me about scheduled visits?,close_to,Rampur
Trying to find a kurnool within. i want to check my medical records for my review.,within,Faridabad
