query,action
"Where question my find pediatrician visakhapatnam? need psychiatrist, routine check-up. prefer male doctor.",find_doctor
Can wish some find pharmacy chennai?,find_medicalshop
"Help me look for a find emergency room hyderabad. it's routine check-up, need infirmary. prefer hospital female doctor.",find_hospital
Tell me about lab kolkata.,find_lab
"Find the schedule patna wish. want second opinion. find time, male doctor.",book_appointment
I'm try to find upcoming appointments ranchi. tell about scheduled visits?,my_appointments
"Consult for medical history kochi. check health records, review.",my_records
"Need an doctor kolkata try to find? need gp, specific medical procedure. prefer specific time for appointments.",find_doctor
Tell me about medical store bhopal.,find_medicalshop
"Where need a find clinic around? it's second opinion, need medical center. prefer hospital specific hospital chain.",find_hospital
Require my pathology lab indore.,find_lab
"Need a consultation kanpur. want specific medical procedure. find time, specific time for appointments.",book_appointment
Try to find an kolkata upcoming appointments. tell about upcoming appointments?,my_appointments
"Can need my find medical history aurangabad? check health information, review.",my_records
"I'm look for dermatologist bangalore. need dermatologist, emergency. prefer female doctor.",find_doctor
I'm question chemist vadodara.,find_medicalshop
"Looking for an medical center mumbai. it's emergency, need infirmary. prefer hospital female doctor.",find_hospital
Want some diagnostic center mysore.,find_lab
"Find the consultation hyderabad require. want routine check-up. find time, male doctor.",book_appointment
Seek a scheduled visits agra. tell about my appointments?,my_appointments
"I'm wish my medical records amritsar. check medical history, review.",my_records
"Need an gp around want? need pediatrician, preventive care. prefer specific time for appointments.",find_doctor
Want an bhopal apothecary.,find_medicalshop
"Looking for some healthcare facility hyderabad. it's second opinion, need emergency room. prefer hospital male doctor.",find_hospital
Find a testing facility close to question.,find_lab
"Tell me about schedule varanasi. want preventive care. find time, male doctor.",book_appointment
Need the bhubaneswar scheduled visits. tell about doctor appointments?,my_appointments
"I'm need my medical records kolkata. check health records, review.",my_records
"Tell me about pediatrician varanasi. need gynecologist, preventive care. prefer specific hospital chain.",find_doctor
I'm need chemist kochi.,find_medicalshop
"Where need an find clinic around? it's routine check-up, need emergency room. prefer hospital male doctor.",find_hospital
Where consult for this find testing facility delhi?,find_lab
"Try to find consultation mysore. want emergency. find time, specific hospital chain.",book_appointment
Need an my appointments mysore. tell about scheduled visits?,my_appointments
"Help me seek the find health information agra. check patient records, review.",my_records
"Try to find the kolkata doctor. need family doctor, second opinion. prefer female doctor.",find_doctor
Need some kochi health supply store.,find_medicalshop
